Date,Category,Longitude,Latitude
12/31/2015,Thefts,-75.05838166,40.04686772
12/31/2015,Aggravated Assault No Firearm,-75.15527909,39.92294446
12/31/2015,All Other Offenses,-75.15808578,39.94229856
12/31/2015,Theft from Vehicle,-75.06767832,40.04262202
12/31/2015,Theft from Vehicle,-75.09958418,40.02849021
12/31/2015,Thefts,-75.18147584,39.91823982
12/31/2015,Fraud,-75.1854591,39.92438525
12/31/2015,Aggravated Assault Firearm,-75.19777685,39.96067931
12/31/2015,Aggravated Assault Firearm,-75.19777685,39.96067931
12/31/2015,All Other Offenses,-75.04779238,40.07305246
12/31/2015,Thefts,-75.14921655,39.94122325
12/31/2015,All Other Offenses,-75.15999328,39.96871654
12/31/2015,Theft from Vehicle,-75.08478759,40.06200337
12/31/2015,Thefts,-75.15702483,39.96247829
12/31/2015,Burglary Residential,-75.06148794,40.05628108
12/31/2015,Fraud,-75.1538209,39.94216014
12/31/2015,Other Assaults,-75.10574496,40.03308671
12/31/2015,Thefts,-75.16969795,39.9248987
12/31/2015,Thefts,-75.18440515,39.91845186
12/31/2015,Embezzlement,-75.21577161,40.03404318
12/31/2015,Thefts,-75.15983093,39.95195784
12/31/2015,Weapon Violations,-75.18635622,39.9265326
12/31/2015,Weapon Violations,-75.09018633,40.03377835
12/31/2015,Rape,-75.08877522,40.03621754
12/31/2015,Vandalism/Criminal Mischief,-74.99958563,40.11250805
12/31/2015,Narcotic / Drug Law Violations,-75.23578033,39.92745489
12/31/2015,Other Assaults,-75.08831195,40.04546932
12/31/2015,All Other Offenses,-75.08853764,40.0111422
12/31/2015,All Other Offenses,-75.08392684,40.01565402
12/31/2015,Thefts,-75.16148534,39.95207291
12/31/2015,Aggravated Assault Firearm,-75.23058078,39.96227997
12/31/2015,Narcotic / Drug Law Violations,-75.21385137,39.94189131
12/31/2015,Other Assaults,-75.23482387,39.94323264
12/31/2015,Other Assaults,-75.22512946,39.93294059
12/31/2015,Robbery No Firearm,-75.05823453,40.0316607
12/31/2015,Burglary Residential,-75.19833912,40.05305211
12/31/2015,Fraud,-75.15940074,39.94694547
12/31/2015,Theft from Vehicle,-75.22923261,39.93270587
12/31/2015,Theft from Vehicle,-75.22676575,39.92045773
12/31/2015,Robbery Firearm,-75.15518907,40.05574969
12/31/2015,Other Assaults,-75.1594374,39.95396279
12/31/2015,Fraud,-75.16401572,39.96482169
12/31/2015,Fraud,-75.18409513,39.97201853
12/31/2015,Thefts,-75.16096831,39.93192101
12/31/2015,Public Drunkenness,-75.23148418,39.93362177
12/31/2015,Fraud,-75.18884624,40.06010158
12/31/2015,Fraud,-75.15895368,40.07054736
12/31/2015,Other Assaults,-75.21529906,39.94300633
12/31/2015,Robbery No Firearm,-75.23960345,39.92485833
12/31/2015,Thefts,-75.14552604,39.97612492
12/31/2015,Thefts,-75.14738601,39.98720962
12/31/2015,Other Assaults,-75.15762173,39.94372679
12/31/2015,Thefts,-75.1672546,39.9512646
12/31/2015,All Other Offenses,-75.02822714,40.02469117
12/31/2015,Robbery Firearm,-75.16819447,39.94639341
12/31/2015,Robbery No Firearm,-75.09486709,40.05031174
12/31/2015,Other Sex Offenses (Not Commercialized),-75.24047202,39.96793632
12/31/2015,Thefts,-75.24665631,39.98158982
12/31/2015,Disorderly Conduct,-75.15244465,39.95653831
12/31/2015,Disorderly Conduct,-75.14909399,39.95687827
12/31/2015,Thefts,-75.15204257,39.95099291
12/31/2015,Thefts,-75.16101665,39.94698135
12/31/2015,All Other Offenses,-75.11215495,40.02127622
12/31/2015,Aggravated Assault Firearm,-75.18812605,39.93844968
12/31/2015,Aggravated Assault Firearm,-75.18812605,39.93844968
12/31/2015,Narcotic / Drug Law Violations,-75.24675582,39.96271444
12/31/2015,Other Assaults,-75.07377909,40.02982565
12/31/2015,Other Assaults,-75.0406102,40.03583812
12/31/2015,Other Assaults,-75.07379085,40.00124368
12/31/2015,Other Assaults,-75.21154078,39.93979299
12/31/2015,All Other Offenses,-75.10872447,40.01800614
12/31/2015,Other Assaults,-75.15119586,40.06396674
12/31/2015,Fraud,-75.20782345,40.00274702
12/31/2015,Thefts,-75.1545498,39.95129983
12/31/2015,Robbery No Firearm,-75.17507336,39.96161794
12/31/2015,Theft from Vehicle,-75.17377319,40.03499845
12/31/2015,Narcotic / Drug Law Violations,-75.23694857,39.92592957
12/31/2015,Other Assaults,-75.16624381,39.94844754
