Name	Average	Year5	Year20
Oxford	"$286,000.00 "	0.03860	0.03880
Huguenot	"$279,000.00 "	0.03670	0.03720
Stratford Hills	"$261,000.00 "	0.04920	0.04290
Piney Knolls	"$113,000.00 "	0.09430	0.03960
South Garden	"$113,000.00 "	0.10640	0.03870
Cedarhurst	"$181,000.00 "	0.05760	0.04660
Woodland Heights	"$255,000.00 "	0.06930	0.06020
Cottrell Farms	"$124,000.00 "	0.08290	0.03700
Forrest Hill Terrace	"$227,000.00 "	0.05330	0.05630
Beaufont	"$128,000.00 "	0.05040	0.03930
Blackwell	"$125,000.00 "	0.08910	0.05100
Forest Hill	"$301,000.00 "	0.05430	0.04960
Westover	"$131,000.00 "	0.05340	0.04110
Windsor Farms	"$950,000.00 "	0.02810	0.04680
Three Chopt	"$332,000.00 "	0.05430	0.05410
Colonial Place	"$339,000.00 "	0.05020	0.05250
Westhampton	"$417,000.00 "	0.05210	0.05030
Malvern Gardens	"$464,000.00 "	0.05080	0.05160
Mary Munford	"$386,000.00 "	0.05230	0.05330
Willow Lawn	"$320,000.00 "	0.05040	0.05300
Wilton	"$103,000.00 "	0.03850	0.04540
Ginter Park	"$334,000.00 "	0.05720	0.05610
Bellevue	"$287,000.00 "	0.04730	0.05220
Northern Barton Heights	"$179,000.00 "	0.12270	0.06890
Rosedale	"$238,000.00 "	0.06680	0.05590
The Fan	"$430,000.00 "	0.05040	0.06250
The Museum District	"$363,000.00 "	0.04940	0.06080
Randolph	"$177,000.00 "	0.04140	0.04130
Byrd Park	"$265,000.00 "	0.06560	0.06100
Carillon	"$288,000.00 "	0.06450	0.05450
Maymont	"$151,000.00 "	0.05230	0.05930
Carver	"$191,000.00 "	0.05840	0.04660
Oregon Hill	"$255,000.00 "	0.04790	0.06460
Church Hill	"$279,000.00 "	0.09220	0.06000
Church Hill North	"$108,000.00 "	0.11580	
Chimborazo	"$202,000.00 "	0.11140	0.08710
Westover Hills	"$328,000.00 "	0.04320	0.04900
JD	"$47,000.00 "	0.07030	0.01960
