Name	Type	Year5	Year20
Fulton	Discontinued	0.0547	0.0430
Southampton	Discontinued	0.0480	0.0390
Bellemeade	Discontinued	0.0360	0.0210
Swansboro West	Discontinued	0.0340	0.0290
Swansboro	Discontinued	0.0450	0.0380
Walmsley	Discontinued	0.0370	0.0300
British Camp Farms	Discontinued	0.0576	0.0333
Woodhaven	Discontinued	0.0518	0.0342
Hickory Hill	Discontinued	0.0520	0.0311
Reedy Creek	Discontinued	0.0330	0.0410
Broad Rock	Discontinued	0.0430	0.0310
McGuire	Discontinued	0.0500	0.0330
North Highland Park	Discontinued	0.0300	0.0000
Brookland Park	Discontinued	0.0585	0.0000
Providence Park	Discontinued	0.0310	0.0330
Highland Park Southern Tip	Discontinued	0.0520	0.0420
Carytown	Discontinued	0.0720	0.0650
Byrd Park	Discontinued	0.0520	0.0610
Jackson Ward	Discontinued	0.0500	0.0550
Eastview	Discontinued	0.0230	0.0250
Fairmount	Discontinued	0.0520	0.0000
Oakwood	Discontinued	0.0170	0.0000
